optimization,cache,order,msgsize,average_time_us
noopt,nocache,S,4,1786.4201
noopt,nocache,R,4,1884.9426
noopt,nocache,S,64,1870.0337
noopt,nocache,R,64,1988.6625
noopt,nocache,S,256,2138.0748
noopt,nocache,R,256,2319.2118
noopt,icache,S,4,1715.7081
noopt,icache,R,4,1817.9340
noopt,icache,S,64,1800.2654
noopt,icache,R,64,1921.3139
noopt,icache,S,256,2071.9051
noopt,icache,R,256,2254.5883
noopt,dcache,S,4,1182.5485
noopt,dcache,R,4,1186.4208
noopt,dcache,S,64,1234.3177
noopt,dcache,R,64,1238.6477
noopt,dcache,S,256,1401.0059
noopt,dcache,R,256,1405.1256
noopt,bcache,S,4,36.1914
noopt,bcache,R,4,34.9868
noopt,bcache,S,64,37.6533
noopt,bcache,R,64,38.2172
noopt,bcache,S,256,42.1726
noopt,bcache,R,256,42.7887
opt,nocache,S,4,212.5500
opt,nocache,R,4,214.2452
opt,nocache,S,64,213.3091
opt,nocache,R,64,214.9869
opt,nocache,S,256,218.6417
opt,nocache,R,256,220.3150
opt,icache,S,4,76.1803
opt,icache,R,4,77.1023
opt,icache,S,64,76.3611
opt,icache,R,64,77.1236
opt,icache,S,256,78.1200
opt,icache,R,256,79.0665
opt,dcache,S,4,200.6129
opt,dcache,R,4,201.3417
opt,dcache,S,64,201.4770
opt,dcache,R,64,202.1412
opt,dcache,S,256,206.6637
opt,dcache,R,256,207.3500
opt,bcache,S,4,6.0919
opt,bcache,R,4,6.1654
opt,bcache,S,64,6.1118
opt,bcache,R,64,6.1890
opt,bcache,S,256,6.2893
opt,bcache,R,256,6.3740

